,country,description,points,price,province,title,variety,winery
118712,US,"Very fine, a smooth, silky wine with an elegant mousse, or quality of bubbles. It's pretty full-bodied, with subtle raspberry, peach, vanilla and brioche flavors. Easily the most complex and interesting of Chandon's lineup of sparklers.",92,50.0,California,Chandon NV Etoile Rosé Sparkling (Napa-Sonoma),Sparkling Blend,Chandon
118729,US,"Fully ready to drink now, this dry brut shows the classy elegance of a fine Champagne. The Chardonnay contributes white peaches and apples, while Pinot adds a subtle note of cherries with spicy, yeasty nuances. At 80,000 cases, it's a notable achievement.",92,23.0,California,Roederer Estate NV Brut Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
118868,France,"Tasted from a half bottle, the rich and complex flavors of Brut La Française show just that extra touch of maturity. The wine has peach and almond flavors that contrast well with the taut, nervy edge. It's full in the mouth and ripe, and works well both as an apéritif and a food Champagne.",90,45.0,Champagne,Taittinger NV La Française Brut  (Champagne),Champagne Blend,Taittinger
118904,Portugal,"The wine—perhaps named in honor of Homer Simpson (Doh!)—is soft, light and freshly fruity. It has an attractive final core of tannin and acidity.",84,5.0,Portuguese Table Wine,Adega Cooperativa da Batalha NV D'Ó Red (Portuguese Table Wine),Portuguese Red,Adega Cooperativa da Batalha
118948,Argentina,Bready apple aromas carry the nose. The palate is plump but low on bubbles and acidity. Drab flavors of woodspice and cinnamon rest heavily over a finish that tastes like spiced applesauce.,81,17.0,Mendoza Province,Reginato NV Torrontés-Chardonnay Sparkling (Mendoza),Sparkling Blend,Reginato
119105,France,"This soft wine has fresh acidity that lifts the peppered pear flavors. It's ready to drink, very fruity while keeping its mineral and chalky texture. The aftertaste is ripe and also fresh.",88,25.0,Loire Valley,Alexandre Monmousseau NV Vigneau Brut  (Vouvray),Chenin Blanc,Alexandre Monmousseau
119160,Spain,"Flat, gritty aromas are a tad volatile. This nonvintage red feels oaky and raw, with prodding acidity. A rough mix of scouring red-berry fruit, briny notes and oak make for a marginal flavor profile, while the finish tastes briny and pickled.",83,15.0,Northern Spain,Ignacio Marín NV Gabarda Red (Cariñena),Red Blend,Ignacio Marín
119198,US,"Herb, medicine cabinet, leather and dried cherry aromas precede an unusual mixture of sweet and tangy flavors. It all creates a somewhat uneasy mix in the glass.",84,14.0,Washington,Barnard Griffin NV Blend 31 Cabernet Merlot (Columbia Valley (WA)),Cabernet Merlot,Barnard Griffin
119276,Portugal,"Relatively dry, this has some firm tannins, darkened by plum skin flavors and ripe berries, lifted with acidity. The spirit element comes through as pepper and spice, giving an edge to the soft fruit.",87,16.0,Port,Sandeman NV Founders Reserve  (Port),Port,Sandeman
119278,Italy,"A tiny percentage of Verdiso is added to the blend, lending this a bright green note of lime and honeydew. This Prosecco also shows extra depth and structure.",87,16.0,Veneto,Il Follo NV Cuvée Rustot Brut  (Prosecco Treviso),Glera,Il Follo
119281,Italy,"This shows bright floral tones of honeysuckle and citrus blossom backed by notes of stone fruit and dried grass. It's creamy and smooth, with a distant touch of sweetness on the finish.",87,18.0,Veneto,La Gioiosa NV Etamorosa Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,La Gioiosa
119283,Italy,"On the nose, this has aromas of stone fruit and melon that lend the wine depth and personality. The mouthfeel is bright, clean and refreshing.",87,12.0,Veneto,Le Manzane NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Le Manzane
119287,Italy,"Simple, bright and refreshing, this offers aromas of white flower, stone fruit, citrus and crushed mineral. Flavors of sweet fruit and peach are followed by creamy foam and lemon-lime acidity.",87,15.0,Veneto,Macaron NV  Prosecco,Glera,Macaron
119290,Italy,"Steely effervescence, bright acidity and tonic crispness is followed by subtle tones of peach and white rose. This sparkler is clean and bone dry on the finish.",87,24.0,Veneto,Tenuta Santomè NV Bosco Coste Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Tenuta Santomè
119292,Italy,"Simple and straightforward, this has honest aromas of yellow fruit and perfumed white flower. It's an easy-drinking sparkler that should pair well with salads or raw fish.",87,16.0,Veneto,Valdellövo NV Anno Zero Extra Dry  (Prosecco Treviso),Glera,Valdellövo
119294,Italy,"The quintessential summer sipping wine, this opens with fresh aromas of citrus, white flower and stone fruit. It follows to the palate with foamy bubbles and a bright touch of acidity.",87,18.0,Veneto,Villa Sandi NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Villa Sandi
119303,Italy,"Fresh and bright, this has lasting aromas of stone fruit, lime and white flower. The mouthfeel is creamy and soft thanks to the foamy quality of bubbles.",87,12.0,Veneto,Mionetto NV Il Prosecco  (Prosecco),Glera,Mionetto
119306,Italy,"This delivers top quality at an attractive price point, with floral aromas of jasmine, honeysuckle and orange blossom. The finish is soft, feminine and very smooth.",87,13.0,Veneto,Astoria NV Cuvée Lounge Extra Dry  (Prosecco),Glera,Astoria
119373,France,"The vineyard of this estate, on the first slope above the River Loire, has produced a dry while honeyed wine. Fresh pear contrasts with lemon acidity and a light texture. The wine is ready to drink.",86,17.0,Loire Valley,Domaine du Petit Coteau NV  Vouvray,Chenin Blanc,Domaine du Petit Coteau
119452,US,"There's a streak of rose petal amidst soft red and blue fruit in this Zinfandel. The tannins are soft, and there's not much to offer in terms of spice or concentrated flavors.",83,20.0,California,Claudia Springs NV Blend 5 Zinfandel (Redwood Valley),Zinfandel,Claudia Springs
119489,US,"Dark and intriguing, this wine offers notes of dried sour cherries and plums, plus touches of pink roses, chocolate and brown spices. Medium to full in body, the flavors come across a touch wooly, and the palate feels soft, pliant and polished. A hint of tart black-raspberry candy marks the finish.",86,11.0,Virginia,Molliver Vineyards NV Chambourcin (Virginia),Chambourcin,Molliver Vineyards
119600,Italy,"This sparkling blend (50-50 Chardonnay and Pinot Nero) represents one of only a handful of barrel aged metodo classico wines from Friuli in northeast Italy. The wine's perlage is firm and steely and there are soft layers of toasted bread, stone fruit and honey at the back.",87,38.0,Northeastern Italy,Dorigo NV Cuvée Brut Sparkling (Friuli),Sparkling Blend,Dorigo
119606,Italy,"There's a bright, clean quality to this Prosecco Superiore that is reinforced by citrus, grapefruit and stone fruit aromas. Dried grass, honey and white flower also play supporting roles.",87,12.0,Veneto,Le Manzane NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Le Manzane
119614,Italy,"Here's a great value option for those looking for a chilled summer sipper by the pool or at an outdoor picnic. The wine is light and lean, but it also shows a very lively mouthfeel followed by sharp perlage, honey and peach.",87,12.0,Veneto,Le Manzane NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Le Manzane
119616,France,"Fragrant and crisp, this is a lively blend in which the Aligoté gives a great cut of acidity. The wine does have some weight as well, rounded at the end with the bright aftertaste.",87,20.0,Burgundy,Manuel Olivier NV Brut  (Crémant de Bourgogne),Sparkling Blend,Manuel Olivier
119621,France,"Cuis is among the first villages on the Côte des Blancs after leaving Epernay. While it doesn't have the reputation of the Grand Cru villages further along the slope, it can produce delicious wines. This fine, lightly creamy, white currant-flavored Champagne, shows a good mineral texture, a crispness and a refreshing aftertaste.",92,52.0,Champagne,Pierre Gimonnet et Fils NV Cuis Premier Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils
119640,France,"This Roederer nonvintage seems to be getting drier, bringing out more of the green fruits and less creamy character. It works well here because the wine has some bottle age, giving a beautifully balanced wine that has great class and elegance.",92,35.0,Champagne,Louis Roederer NV Brut Premier  (Champagne),Champagne Blend,Louis Roederer
119666,Austria,"Apple and passion fruit are the aromatic top notes, hovering above a nose of honey and musk. Notes of honey, caramel and maple syrup seem to unite on the palate, guided and framed by the sharpest, most luminous acidity. Extremes are at work here, revealing both utter sweetness and utter acidity. Dazzling all of the senses, this wine leaves a rich aftertaste.",95,25.0,Burgenland,Kracher NV Noble Reserve Trockenbeerenauslese White (Burgenland),Austrian white blend,Kracher
119684,US,"It's unusual to find a nonvintage Pinot Noir, but this wine is unusually good and complex, too. It has fascinating aromatic complexity and a wonderful, lively texture that carries a medley of flavors through the mouth and down the throat. Nuances like black tea, cacao nibs and baking spices meet ripe black cherry and vibrant raspberry flavors for a very satisfying taste experience.",92,38.0,California,Talisman NV Cuvee No. 4 Pinot Noir (North Coast),Pinot Noir,Talisman
119781,France,"An attractive orange-pink wine, this offers ripe red berry and currant fruits. It is full in the mouth with a touch of tannin and bitterness from the recent bottling. It is tight at the end, crisp and needing some bottle age. Drink after 2015.",87,50.0,Champagne,Charles Ellner NV Brut Rosé  (Champagne),Champagne Blend,Charles Ellner
119844,US,"Spine tingling acidity is offset by streaks of fresh tangerine, lemon and apple flavors in this laser-edged sparkling wine. It's persistent in petillance but boasts a distinct delicacy of mousse. The finish is fresh and perfumed, ending on a lingering white-blossom note.",89,29.0,New York,Sparkling Pointe NV Brut Sparkling (North Fork of Long Island),Sparkling Blend,Sparkling Pointe
119847,US,"Notes of apple, spice and brioche lead to tart citrus flavors. A lively mousse keeps the attention high.",89,12.0,Washington,14 Hands NV Brut Methode Champenoise Sparkling (Columbia Valley (WA)),Sparkling Blend,14 Hands
119923,US,"This is a mouthfilling, plush-textured, copper colored bubbly with hints of cherry and raspberry in the ripe flavors, firm acidity to balance them and tiny bubbles to keep it all lively. Made with 60% Pinot Noir and 40% Chardonnay, it finishes with a slightly sweet sensation.",90,29.0,California,Roederer Estate NV Brut Rosé Sparkling (Anderson Valley),Sparkling Blend,Roederer Estate
120139,Croatia,"This sweet red wine shows aromas of toasted hazelnut and ripe plum on the nose. The nutty character continues to the palate, with additional tones of chamomile tea and aromatic herb.",91,50.0,North Dalmatia,Bibich NV Ambra Red (North Dalmatia),Red Blend,Bibich
120165,Italy,"This traditional Lacryma Christi del Vesuvio is very thin and compact in the mouth with sour tones of white cherry, cranberry and bitter forest berry. It has bright acidity and would pair well with easy foods like bite-size pizzas or finger foods.",84,20.0,Southern Italy,Digi Or NV Red (Lacryma Christi del Vesuvio),Red Blend,Digi Or
120380,Italy,"Here's an absolutely terrific, but informal sparkling rosé from southern Italy (made with Negroamaro grapes). Sweet berry, chopped mint and peach come to the fore and the wine is soft and slightly sweet. It's easy, fresh and would make a great cocktail choice.",86,10.0,Southern Italy,Villa Mottura NV Rosé Extra Dry Negroamaro (Salento),Negroamaro,Villa Mottura
120381,Italy,"Il Fresco is the perfect bubbly for a moonlit night, a festive atmosphere and dining al fresco. Light and luminous with an easy feel and focused floral and peach aromas, this bright Prosecco is a real charmer.",86,13.0,Veneto,Villa Sandi NV Il Fresco Brut  (Prosecco),Glera,Villa Sandi
120454,US,"This medium-bodied wine has fresh fruity and lightly spicy aromas, with a lively texture due to reasonable acidity and tannins. Flavors do a good job of balancing raspberry and cherry with slightly oaky vanilla and nutmeg.",86,12.0,California,Middle Sister NV Goodie Two Shoes Pinot Noir (California),Pinot Noir,Middle Sister
